Motor vehicles and parts,Furnishings and durable household equipment,Recreational goods and vehicles,Other durable goods,Food and beverages purchased for off-premises consumption,Clothing and footwear,Gasoline and other energy goods,Other nondurable goods,Housing and utilities,Health care,Transportation services,Recreation services,Food services and accommodations,Financial services and insurance,Other services
0.871370706967559,0.64777327935223,0.44147733390761,0.341183323624864,0.26348039215686,0.189709015556142,0.170034227669206,0.157691227615405,0.10803152395289,0.0683526999316471,0.068084424686606,0.0100877635428246,0.00938614604843272,-0.130200079488459,-0.282732526714065
0.523560209424086,0.460632029994645,0.373088685015288,0.290504648074371,0.235487285846999,0.228212336695884,0.189559638378537,0.172472859151103,0.111992290763241,0.0233637061513322,0.00999710084075289,-0.0187811062071515,-0.0738279808047267,-0.166518259154735,-0.231640894008641
0.493017801940095,0.481231953801734,0.415216462111504,0.362647325475973,0.305970801643503,0.270493155203696,0.217540961035382,0.204184001652356,0.12624290697069,0.115686458431045,0.0160016001600131,-0.030202355783752,-0.0543637352067898,-0.0968409804314415,-0.19848043140039
0.476568705321682,0.435706695005308,0.354747162022706,0.334366830810384,0.312783460010631,0.283416820458737,0.21691378363536,0.214754193510943,0.114293397875483,0.0964481905480818,0.0882643694393466,0.0786071590982873,0.0029976019184641,-0.0770728090564073,-0.480976548246922
0.639703938673016,0.591938363243449,0.424765092032435,0.30242545212605,0.288813750352205,0.285251926821909,0.240144086451877,0.223285486443385,0.191706185046921,0.187542992121899,0.0622877222672772,0.0483335434791732,0.00960643934797556,-0.0319811311326338,-0.210235858353591
0.560852495793607,0.506841040993722,0.434231952234487,0.427076660260517,0.316255534471854,0.28214429665457,0.257167870431167,0.182815356489948,0.167453699052215,0.109725109725112,0.0858674708888341,0.0847910917688803,0.00699734101041738,-0.007038412134223,-0.215961519583785
1.00632740980076,0.631997110870349,0.493343774471418,0.47101112453906,0.34505862646567,0.285063926649221,0.193194925028835,0.180176676842114,0.171863491284071,0.164341410538834,0.0418149934594473,0.0376317109884579,0.00821625174594794,-0.0219804374107032,-0.301723198919461
0.731283342324522,0.506656069938405,0.41466024612092,0.399419026870003,0.347735105859178,0.268873524687481,0.182172513133364,0.181472519875562,0.156473829201098,0.152293927279653,0.0258122801923018,0.014688909873047,0.00121309536445698,-0.00821133633633897,-0.0420155457519241
0.726448732047051,0.625111627076258,0.432986943778313,0.349216203631856,0.287802912565471,0.239014524728809,0.187969924812033,0.165607862301131,0.0653594771241828,0.0406196137843207,0.0175997465636494,0.0141843971631195,-0.00899469313105176,-0.00959942120542327,-0.146226316559087
0.553731887662057,0.32359081419624,0.25782988655485,0.236643773953752,0.189024750428257,0.177223699086378,0.166279636478313,0.116011727731021,0.0801882451919959,0.0592597807974826,0.0149965507933188,-0.0302977560321567,-0.154987633965372,-0.186219739292359,-0.206741009898511
