Daten,comp,targ,bench,bint,rank
2020,0.00328255346935087,0.004830778,0.003999419,0.00455320497439118,0.0039334685632806
2020.08,0.00321647610203475,0.004970007,0.0041210784,0.00455370265160166,0.00374471846185286
2020.17,0.00307347865655261,-0.0005272896,0.0030224025,0.00454920825201452,0.0033170007294934
2020.25,0.00401729825665066,-0.005765234,0.0033758367,0.00455065406012095,0.0037788144005233
2020.33,0.00430126109224047,-0.005997647,0.002842086,0.00454847062374475,0.00445419179427494
2020.42,0.00641555117739799,-0.0001822507,0.0043225862,0.00455452696801119,0.00562314180183318
2020.5,0.00621863273284055,0.007195353,0.0044218864,0.00455493317950439,0.00520302554698428
2020.58,0.00578108876814074,0.009363512,0.0056872766,0.00456010956427122,0.00426410857780126
2020.67,0.000725152444225203,0.007799833,0.0026264834,0.00454758864914567,0.00427935658971494
2020.75,-0.0055771166425271,0.005183428,-0.0022203507,0.00452776150159657,0.00429564908110057
2020.83,-0.00615925132837933,0.003222516,-0.0029995033,0.00452457418937487,0.00524075234382151
2020.92,-0.00116726976699456,0.006130648,-0.0006214387,0.00453430223797994,0.00443689482756602
2021,0.00746148403075645,0.009295378,0.0061771025,0.00456211331562567,0.00716760550817062
2021.08,0.013330634608679,0.01184129,0.0082878222,0.00457074772523475,0.0105853316244512
2021.17,0.0114122685233759,0.01269751,0.0082654906,0.00457065637242195,0.00938219540269972
2021.25,0.010054643854841,0.01460177,0.0054337464,0.00455907243764797,0.00863027649123921
2021.33,0.00507075673466326,0.01608889,0.0032593719,0.00455017763267858,0.00577670140619798
2021.42,0.00375442696387957,0.01603259,0.0048294511,0.00455660042151762,0.00548467587994452
2021.5,0.00407260033220855,0.01526498,0.0073385797,0.00456686461912486,0.0058636977483207
2021.58,0.00720826618971565,0.01419803,0.0085150315,0.00457167717984836,0.00572401282412114
2021.67,0.0096540475810361,0.01194505,0.0093858589,0.00457523951001964,0.0101488350280306
2021.75,0.0154714716135016,0.01341569,0.0122830466,0.00458709115726404,0.0101738163661349
2021.83,0.0207392677808061,0.01631425,0.0152709036,0.004599313709217,0.0117272047102144
2021.92,0.0233856876368021,0.0197552,0.0158749462,0.00460178469161686,0.016319729212539
2022,0.0184290839083258,0.01837621,0.0140680062,0.00459439296636834,0.011067572822638
2022.08,0.0125350755365493,0.01774729,0.0123308326,0.00458728663745858,0.0083518985685752
2022.17,0.00803950153439211,0.02021012,0.0097794558,0.00457684961336755,0.00737393567153896
2022.25,0.00770207518620714,0.0183461,0.0102877262,0.00457892881641178,0.00890205751084117
2022.33,0.0107993997118451,0.01808986,0.0123908038,0.00458753196416186,0.00877955961440396
2022.42,0.0138716016756236,0.01870922,0.0164239401,0.00460403048399066,0.0107765513293008
2022.5,0.0132838281795634,0.01582132,0.0163726131,0.00460382051847889,0.00937887840062674
2022.58,0.0121170865928328,0.0126361,0.0153440682,0.00459961300671504,0.00937739658167892
2022.67,0.0123264244733973,0.006396241,0.0130811606,0.00459035603568004,0.0106832693077612
2022.75,0.0128377746515073,0.01053471,0.0117244705,0.00458480616658278,0.0143892230869584
2022.83,0.0119578947787512,0.01041863,0.0108185471,0.00458110026773224,0.0127195730087283
2022.92,0.0106309124772041,0.008741065,0.0129299656,0.00458973753595179,0.0112542644027501
2023,0.00995675357574399,0.009466371,0.0118004254,0.00458511687847808,0.00929411836518539
2023.08,0.0116596383488267,0.009981306,0.0139742676,0.00459400950594553,0.00767397128405925
2023.17,0.0113941915713193,0.009712592,0.0124938798,0.0045879536214785,0.00792190752804848
2023.25,0.0112404160270052,0.008091961,0.0136254994,0.00459258278524101,0.00804782514298504
2023.33,0.00668663878644453,0.006189228,0.0108935107,0.00458140692447504,0.00852868728951176
2023.42,0.00756609950265445,0.007377481,0.0101204611,0.00457824457805143,0.00750944269831167
2023.5,0.0114261857436166,0.005234642,0.0114113597,0.00458352531110006,0.00721383272065364
2023.58,0.0127965178682718,0.006866989,0.0120888172,0.00458629661491068,0.00753575201689155
2023.67,0.0121133941782922,0.007904679,0.0113441104,0.00458325021156784,0.00688466413410812
2023.75,0.00940127141881372,0.006824325,0.0101169103,0.00457823005264493,0.00627479120338278
2023.83,0.010012727725265,0.003720084,0.0093249578,0.00457499037933542,0.0064707197083914
2023.92,0.00861009425389856,0.001771195,0.0090106843,0.00457370476754705,0.00603700663359945
