PCE,Dates
0.00551941651882526,1959_JAN
0.00643593616602089,1959_FEB
0.00615545805775652,1959_MAR
0.00646931974122711,1959_APR
0.00567699836867863,1959_MAY
0.00423039375203382,1959_JUN
0.00123360602519162,1959_JUL
0.00162211263950152,1959_AUG
0.00103694102397922,1959_SEP
0.00525257765384879,1959_OCT
0.00524713351039718,1959_NOV
0.0051145927748284,1959_DEC
0.00328989807766744,1960_JAN
0.00393091893285225,1960_FEB
0.00405797101449279,1960_MAR
0.00340770269401403,1960_APR
0.00513511778676423,1960_MAY
0.00474724146779582,1960_JUN
0.00378059720620261,1960_JUL
0.00127722076760972,1960_AUG
0.000510790448218668,1960_SEP
-0.000255346313437599,1960_OCT
-0.000574016200012739,1960_NOV
0.000446713465220183,1960_DEC
0.00319264414788334,1961_JAN
0.00344607530312691,1961_FEB
0.00414620144160249,1961_MAR
0.00190949016612563,1961_APR
0.00114474688374466,1961_MAY
0.000254097319273283,1961_JUN
0.0022234927895306,1961_JUL
0.00482784906619238,1961_AUG
0.00590626190778609,1961_SEP
0.00513438133874233,1961_OCT
0.00309773675559488,1961_NOV
0.00239914135993446,1961_DEC
0.000693699943242754,1962_JAN
0.00151257326526744,1962_FEB
0.005794545569062,1962_MAR
0.0053566927148978,1962_APR
0.00459379523000436,1962_MAY
-0.000688834617070477,1962_JUN
0.00275810192440296,1962_JUL
0.00313204710598836,1962_AUG
0.00269457325479383,1962_SEP
0.000187535162843089,1962_OCT
0.000749344323716761,1962_NOV
0.00374976563964746,1962_DEC
0.0058125,1963_JAN
0.00555347560214647,1963_FEB
0.003175393811095,1963_MAR
0.00310694090598407,1963_APR
0.003164753335402,1963_MAY
0.00484111221449868,1963_JUN
0.00501765471102034,1963_JUL
0.00501051589756285,1963_AUG
0.00413835701050025,1963_SEP
0.00277366863905315,1963_OCT
0.00147719578999195,1963_NOV
0.00227594267084941,1963_DEC
0.00282746327371086,1964_JAN
0.00344170610288241,1964_FEB
0.0035595924880325,1964_MAR
0.00288078455409124,1964_APR
0.00355239786856121,1964_MAY
0.00348581213307231,1964_JUN
0.00397261948417071,1964_JUL
0.00299054012816602,1964_AUG
0.00280333963069035,1964_SEP
0.00328727095635251,1964_OCT
0.00511135450894495,1964_NOV
0.00674567000911575,1964_DEC
0.00588556519628658,1965_JAN
0.00387456108487716,1965_FEB
0.00144875045273452,1965_MAR
0.00102545542284949,1965_APR
0.00247256060788814,1965_MAY
0.00560578661844491,1965_JUN
0.00650798433263033,1965_JUL
0.00896348432894167,1965_AUG
