Daten,comp,targ,bench,bint,rank
2020,0.033196994657482,0.004830778,0.11252789,0.00410265227255464,0.00407883650271656
2020.08,-0.0127463766216649,0.004970007,0.0947362,0.00388343741122793,0.00477083165404188
2020.17,-0.0163452414056389,-0.0005272896,0.14408621,0.00455261687625529,0.00578116648692216
2020.25,-0.0332883209350462,-0.005765234,0.14739621,0.0045835196113955,0.00467415964585868
2020.33,0.0689130338401523,-0.005997647,0.18957589,0.00512780499551022,0.0043285832817679
2020.42,0.0908878208505316,-0.0001822507,0.08754945,0.00372585502147476,0.0045665904429823
2020.5,-0.0473753944738469,0.007195353,-0.07401169,0.00156321531265682,0.00340209855623515
2020.58,-0.102171293288401,0.009363512,-0.09998344,0.00122564905920664,0.00351932650118878
2020.67,-0.0934998527631739,0.007799833,-0.02071462,0.00234044290481818,0.00397060674095932
2020.75,0.112389604015842,0.005183428,0.20590342,0.00537443126239119,0.00652285554274965
2020.83,0.139681115003566,0.003222516,0.27626074,0.00631435848159691,0.0102995207124464
2020.92,0.098502717342943,0.006130648,0.27551635,0.00627891556360433,0.00827276267428211
2021,0.0225537346227225,0.009295378,0.18112488,0.00502274706044678,0.0061346486127218
2021.08,-0.027605895731419,0.01184129,0.10864573,0.00405898552179895,0.00507137060089093
2021.17,0.0942688753255646,0.01269751,0.1609817,0.00477959634145634,0.0068466405406216
2021.25,0.112332423287989,0.01460177,0.24461932,0.00590665939987717,0.00650516910353046
2021.33,0.150741706936404,0.01608889,0.28383438,0.00645268063825071,0.00697306343861313
2021.42,0.188387168667269,0.01603259,0.31286196,0.00683983594561795,0.00878231214167363
2021.5,0.319674550659332,0.01526498,0.40943489,0.0081122492322384,0.0123901959995913
2021.58,0.416511854997589,0.01419803,0.50903012,0.00941659352197536,0.014795955312478
2021.67,0.378339656586842,0.01194505,0.52916487,0.00967438013067759,0.013152079540716
2021.75,0.320085871981617,0.01341569,0.46893354,0.00888774350149395,0.0112393853105737
2021.83,0.334062499173489,0.01631425,0.41102775,0.00812603475423157,0.0112358419766314
2021.92,0.328588731352409,0.0197552,0.32598186,0.00699596520385228,0.010171523314641
2022,0.37250455166469,0.01837621,0.34292421,0.0072380016617145,0.0116762220997965
2022.08,0.296686715740897,0.01774729,0.41302679,0.0081867433635014,0.0117515744469789
2022.17,0.356974833211713,0.02021012,0.54746467,0.00997112758223804,0.0140991857846263
2022.25,0.411055760040889,0.0183461,0.54575377,0.00992632223618185,0.0143191854105608
2022.33,0.481048979381535,0.01808986,0.51146894,0.00947537631865999,0.015495781580305
2022.42,0.403158760692637,0.01870922,0.43603869,0.0085469055563406,0.0161134518263222
2022.5,0.231698075029297,0.01582132,0.39081568,0.00793497107900736,0.0155813303398393
2022.58,0.178286932852528,0.0126361,0.36061824,0.00754271309806746,0.0130050934447372
2022.67,0.353779870262414,0.006396241,0.43099885,0.00845730787765985,0.012560052714591
2022.75,0.359990271979903,0.01053471,0.39334751,0.00792571980786878,0.0110980010451907
2022.83,0.449369316775154,0.01041863,0.46580892,0.00880408773431213,0.00922260878983776
2022.92,0.378082123047043,0.008741065,0.41646266,0.00806675458832872,0.00945046952825327
2023,0.360993812337718,0.009466371,0.45418331,0.00861992945465983,0.0104350308486254
2023.08,0.229297704088241,0.009981306,0.36311702,0.0074478662508862,0.00992018443344232
2023.17,0.151792985741803,0.009712592,0.3373487,0.00708899757157872,0.00790049495520592
2023.25,0.239137580277963,0.008091961,0.38037866,0.00765390774996933,0.00848651982736787
2023.33,0.305634143242016,0.006189228,0.40296057,0.00795259236264404,0.00906816851569448
2023.42,0.318253052037718,0.007377481,0.37813701,0.0076291788218313,0.00791808447415283
2023.5,0.272083168419769,0.005234642,0.33723034,0.00707673442098896,0.00694527498017558
2023.58,0.229976543555694,0.006866989,0.31083193,0.00670604301617611,0.00634821894176647
2023.67,0.190822702287662,0.007904679,0.30035614,0.00659110089466786,0.00587282954580359
2023.75,0.101733165142046,0.006824325,0.23052408,0.00565834194763521,0.00437273516800507
2023.83,0.0348358714469932,0.003720084,0.16657848,0.00486369731701386,0.00544516904559693
2023.92,0.130497553114263,0.001771195,0.18709335,0.00514447312805095,0.00573166589484914
