Daten,comp,targ,bench,bint
2002.42,0.00530035461048553,0.005982289,0.00550274890361487,0.00466448098425307
2002.5,0.00528521657550219,0.005602608,0.00511610881783753,0.00456904191483631
2002.58,0.00582632145708169,0.004624851,0.0052840377205543,0.00461049384595526
2002.67,0.00624531697977263,0.003781902,0.00533420834746649,0.00462287807128701
2002.75,0.00609661345799574,0.004946564,0.00523662466479132,0.00459879030541024
2002.83,0.00544655762080729,0.008179773,0.0045196010321528,0.00442179865150227
2002.92,0.00439151581469624,0.009795897,0.00355561329425935,0.00418384584728447
2003,0.00395166785609896,0.005077654,0.00293390783627038,0.0040303827363851
2003.08,0.0037623768614998,-0.0002837758,0.00278057863979756,0.00399253462812088
2003.17,0.00429726819009318,-0.001762625,0.00308502457299446,0.00406768471633176
2003.25,0.00535543121658668,0.002873971,0.00358981762236255,0.0041922889171168
2003.33,0.00634405058279477,0.007418972,0.0039782815843159,0.00428817819604721
2003.42,0.00616722587564902,0.009473114,0.00379114052052228,0.00424198389381334
2003.5,0.00565235440230424,0.006643878,0.00392558092745521,0.00427516945268754
2003.58,0.0048571973728555,0.004521062,0.00393678214708112,0.00427793438580429
2003.67,0.00493758915382017,0.003600475,0.00457727303651752,0.00443603453296009
2003.75,0.00461975654541619,0.007353223,0.00453251550785646,0.00442498648842995
2003.83,0.00449794126488944,0.008223684,0.00467014094704954,0.00445895824750985
2003.92,0.00423574002869237,0.007556771,0.00448055729186011,0.00441216101076827
2004,0.00487678711806875,0.005538025,0.00475180629050757,0.00447911669633589
2004.08,0.00586875842128834,0.00666439,0.00503037916354347,0.00454788022279189
2004.17,0.00696676101599143,0.007979899,0.00550200845317317,0.00466429820987529
2004.25,0.00711961490908284,0.007045094,0.00574415142725234,0.00472406930180814
2004.33,0.00685600672048268,0.004296267,0.00581788035132943,0.00474226870782387
2004.42,0.00644448675283692,0.003419724,0.0057146816394497,0.00471679491607512
2004.5,0.0058652319289919,0.00679557,0.00512489357109569,0.00457121036220339
2004.58,0.00504560258063092,0.01015686,0.00428761527951534,0.00436453478993149
2004.67,0.00430978306920312,0.008701188,0.00358059067004183,0.00419001131638311
2004.75,0.00427511616787659,0.005705549,0.0036784533274344,0.00421416794497846
2004.83,0.00509226936961561,0.00463112,0.0046979420160594,0.00446582072311105
2004.92,0.0058070976181151,0.007103872,0.00542144280771447,0.00464441121286596
