Daten_IS,Daten,comp,targ,bench,bint,rank
1999_DEC,1999.92,2.32830382779148,2.05475609932484,0.12867184,0.152560499610128,1.62101229560867
2000_JAN,2000,2.68333217767913,2.1891369446009,0.11105475,0.151654015970352,1.5406971817139
2000_FEB,2000.08,2.51234165336327,2.56873791310475,0.09367146,0.150759562460124,1.316743492608
2000_MAR,2000.17,0.989345721603541,2.93087995976957,0.04607076,0.148310278509601,1.23345227625222
2000_APR,2000.25,1.10609596940539,2.35099015338156,0.0842671,0.150275663105431,1.55041658907846
2000_MAY,2000.33,1.36353669580929,2.36894880437406,0.12758299,0.15250447306368,1.67394048801792
2000_JUN,2000.42,1.65827570019981,2.6842647448927,0.13528841,0.152900953820014,1.67994370112767
2000_JUL,2000.5,1.58830208527299,2.66881430193884,0.10949817,0.151573922475682,1.55292041903494
2000_AUG,2000.58,1.45188129736411,2.47546709328008,0.09396065,0.150774442670408,1.50553343116306
2000_SEP,2000.67,2.20435456837755,2.54809617291658,0.16468411,0.154413503346059,2.00473898453311
2000_OCT,2000.75,1.77789241472157,2.51485613072835,0.1616716,0.154258495281182,1.71786616036991
2000_NOV,2000.83,2.01137482088929,2.5663277908851,0.17743498,0.155069596664985,2.10201764150137
2000_DEC,2000.92,1.75950201936754,2.48477935717137,0.13137045,0.152699356016898,1.78587475166483
2001_JAN,2001,2.34932034317541,2.70144323939534,0.1545818,0.153893691121738,2.22042103675728
2001_FEB,2001.08,2.29592481817149,2.5371972007284,0.1715428,0.154766415789334,2.17817386935835
2001_MAR,2001.17,2.24301559298274,2.10870009206583,0.19785596,0.156120353871664,2.61157905349361
2001_APR,2001.25,1.73079445591076,2.37323675297116,0.13951318,0.153118338466787,1.96989315014238
2001_MAY,2001.33,1.94570189534107,2.55764914030157,0.12631862,0.152439415172756,1.93020841757598
2001_JUN,2001.42,1.54333637589152,2.3917346825223,0.08314559,0.15021795604559,1.59911731172862
2001_JUL,2001.5,2.78297383317563,2.1017325031317,0.13759152,0.153019459857936,2.41228716854078
2001_AUG,2001.58,2.51151784280184,2.09646441024454,0.14458412,0.153379262611938,2.67537449377604
2001_SEP,2001.67,2.99668877817694,1.31309594638627,0.20021225,0.156241596275237,2.39758003406239
2001_OCT,2001.75,1.66979224886346,1.53188169727316,0.17039261,0.15470723300616,1.86649102769068
2001_NOV,2001.83,2.14108057185844,1.32156815366136,0.18661441,0.155541922294103,1.92219128383484
2001_DEC,2001.92,1.67237692198106,1.06207506821523,0.13829236,0.153055521431902,1.6015988268097
2002_JAN,2002,2.7449181434966,0.665937115063819,0.21600184,0.157054046289047,2.26678462337779
2002_FEB,2002.08,2.74699417965054,0.679565078816413,0.21606288,0.157057187089336,2.49182371115937
2002_MAR,2002.17,2.9287062675263,0.943308246177255,0.21805822,0.157159856887004,2.64677419127861
2002_APR,2002.25,2.52807385884855,1.18770531969346,0.1468855,0.153497679633075,2.085164312044
2002_MAY,2002.33,1.85130587070967,0.988260261685392,0.09570218,0.150864052728208,1.79244631539135
2002_JUN,2002.42,2.35204899464265,0.936200636702456,0.13551027,0.152912369579389,2.03726200700551
2002_JUL,2002.5,2.22037115271803,1.19216350822087,0.1685713,0.154613517885333,2.08279358198349
2002_AUG,2002.58,2.51182751163608,1.40294631911098,0.17728634,0.155061948425224,1.85249241983594
2002_SEP,2002.67,0.666709593209003,1.9328166779518,-0.08735379,0.141444946509845,1.4837420074044
2002_OCT,2002.75,1.2425489787548,1.76045144452097,0.06055458,0.149055540404242,1.08436123235192
2002_NOV,2002.83,1.84998511338284,1.92998501559101,0.11190504,0.151697767462458,1.37087428421301
2002_DEC,2002.92,2.98502965526737,2.1336730275165,0.31092076,0.16193807924144,1.72029637568878
2003_JAN,2003,1.36606274101925,2.34651535408514,0.09436342,0.150795167115568,1.0709428590042
2003_FEB,2003.08,1.06976782790451,2.60462161316404,0.09026602,0.150584336265205,1.05414618337765
2003_MAR,2003.17,0.986852809337879,2.589654581781,0.12235123,0.152235273959444,1.9414072354645
2003_APR,2003.25,2.13264567934524,1.98869610378842,0.19686661,0.15606944707667,2.50085016776436
2003_MAY,2003.33,1.89313791547834,1.80480756972365,0.17009011,0.154691667932641,2.17304042126099
2003_JUN,2003.42,2.46736147213977,1.78812725658155,0.18328794,0.155370759483831,2.2227652141839
2003_JUL,2003.5,2.47825335538374,1.86273611795473,0.1582067,0.154080209584539,1.91801108508596
2003_AUG,2003.58,3.02453405374974,2.00671518576747,0.18688128,0.155555654033507,2.07133400996689
2003_SEP,2003.67,3.08026812799966,2.14133879081588,0.18830449,0.155628885003036,2.15029091087746
2003_OCT,2003.75,2.10943003570323,1.968211811029,0.14844943,0.15357815132044,2.0399519456739
2003_NOV,2003.83,1.8765519378068,1.99617670225054,0.11518616,0.151866596798071,1.81318145567848
2003_DEC,2003.92,1.92477529890924,2.12287745116451,0.09191334,0.150669098767382,1.91746086899223
2004_JAN,2004,1.92700213788872,2.21240657464181,0.08628275,0.150379377949853,2.01447578125142
2004_FEB,2004.08,1.67327375837825,2.00061915311334,0.09985406,0.151077686835448,2.45591650202497
2004_MAR,2004.17,1.64505931198149,1.8964297207994,0.12235623,0.152235531233387,2.78464460875518
2004_APR,2004.25,2.09700835907924,2.25922441837758,0.13675869,0.152976606766437,1.98040032146436
2004_MAY,2004.33,2.94415021256547,2.70953757415904,0.13869744,0.153076364737624,2.05670650371506
2004_JUN,2004.42,2.47057467522778,2.89091095960288,0.10364367,0.151272680416462,1.64748666300809
2004_JUL,2004.5,2.91500247601575,2.68453788965795,0.15020175,0.153668316575408,2.16728169878104
2004_AUG,2004.58,1.97192545159763,2.39116792044309,0.13981747,0.153133995644377,2.03080808021445
2004_SEP,2004.67,2.03764206326098,2.27391698039152,0.16768719,0.15456802619228,1.96280864034091
2004_OCT,2004.75,1.99020677412389,2.70001149202836,0.14572641,0.153438038902283,2.27946174395575
2004_NOV,2004.83,2.12832338898443,2.96562627268855,0.15357872,0.153842077852499,1.84671158843615
2004_DEC,2004.92,2.46174688797463,2.79371541347164,0.14873052,0.153592614746937,2.15229823588736
2005_JAN,2005,2.99871626203694,2.53203056092617,0.17284885,0.154833618315843,2.18639809121952
2005_FEB,2005.08,3.14813500152542,2.59873288167947,0.18143332,0.155275330404,2.05456572885556
2005_MAR,2005.17,3.47420505668761,2.74750944154991,0.19588844,0.156019115546212,2.07144851755394
2005_APR,2005.25,2.8847026109027,2.84450381786121,0.19706041,0.15607941901468,1.71611971891807
2005_MAY,2005.33,2.83191946927455,2.56896638796647,0.18880535,0.155654656648399,2.15624818460929
2005_JUN,2005.42,2.37004028478482,2.34119577516452,0.18556976,0.155488170049306,2.33563598286819
2005_JUL,2005.5,1.95747239023019,2.67943183038524,0.13808823,0.153045017965927,2.21580000381547
2005_AUG,2005.58,1.6825962955028,3.04080254624142,0.10508565,0.15134687719237,2.08616291961268
2005_SEP,2005.67,2.20633126597318,3.83002097113474,0.11487246,0.151850455430921,1.79248442261517
2005_OCT,2005.75,2.35365634930569,3.55136237130385,0.14787385,0.15354853497328,1.67853744470921
2005_NOV,2005.83,2.54034038554658,2.93840857655476,0.20702648,0.156592221038616,2.20513848544941
2005_DEC,2005.92,2.04970202759271,2.88362767569654,0.18721484,0.155572817292756,2.60528549060504
2006_JAN,2006,2.74724326199931,3.24693783870611,0.23505833,0.158034593951377,2.35989370513499
2006_FEB,2006.08,3.18400082490276,3.02223537321837,0.21850503,0.157182847401049,1.83722408242479
2006_MAR,2006.17,3.4418325495581,2.91367127898787,0.25808891,0.159219627574102,2.59175039767818
2006_APR,2006.25,2.53599094452364,3.10282709937659,0.17608301,0.155000031334589,2.48101383194159
2006_MAY,2006.33,2.19759650504132,3.3215348678642,0.18928244,0.15567920521344,2.11422353971866
2006_JUN,2006.42,1.92024118763536,3.51162790989952,0.13009204,0.152633575700743,1.62195509233509
2006_JUL,2006.5,1.96074582278702,3.42734564037384,0.14053354,0.153170840874772,1.92948276421585
2006_AUG,2006.58,1.56910856967958,3.33588259024509,0.0991882,0.151043425149984,1.85060754424362
2006_SEP,2006.67,1.74665803693419,2.08002693560592,0.14989763,0.153652668145133,3.21201785843757
2006_OCT,2006.75,2.78825087937309,1.67697016888768,0.19713785,0.1560834036735,3.24637585889755
2006_NOV,2006.83,3.30242950360735,1.92467311068263,0.25534088,0.159078228271685,2.75198080481982
2006_DEC,2006.92,3.05995579543481,2.28675222844712,0.2159539,0.157051579546486,2.30613374386197
2007_JAN,2007,2.20057423333151,2.13326309921535,0.19476906,0.155961518085071,2.10477420569704
2007_FEB,2007.08,2.22515200911633,2.38921325222388,0.16330208,0.154342391284721,1.73213068140157
2007_MAR,2007.17,2.86713195548567,2.56489861771843,0.2209927,0.157310849934735,2.66135687236115
2007_APR,2007.25,2.89695733156916,2.33077791440792,0.24816084,0.158708780832128,2.43447010557842
2007_MAY,2007.33,2.99054148133202,2.35298301237934,0.27818137,0.160253480853666,2.67606045821129
2007_JUN,2007.42,2.68149343932107,2.31763412662016,0.27023035,0.159844362801278,2.66939509178696
2007_JUL,2007.5,2.53969364297175,2.12472601774005,0.20056349,0.156259669255147,2.42890630282304
2007_AUG,2007.58,2.28150034770889,1.87371511952541,0.18497789,0.155457715503642,2.15762897419327
2007_SEP,2007.67,1.97386581937851,2.5346870493919,0.15323213,0.153824244137356,1.52836601610058
2007_OCT,2007.75,1.87644155570466,3.08847488691708,0.18116802,0.155261679448613,1.87299360213151
2007_NOV,2007.83,1.34330751652043,3.59962705606163,0.12869098,0.15256148445478,1.4581297720329
2007_DEC,2007.92,1.5391855409612,3.47163420594812,0.121,0.152165746705592,1.60705004804005
2008_JAN,2008,3.33250224613237,3.3874068170614,0.19592569,0.156021032237083,2.51822562871993
2008_FEB,2008.08,4.04737895200318,3.2729227316761,0.25245971,0.158929978278729,3.03773325142105
2008_MAR,2008.17,3.67435985170781,3.19114256942368,0.24112473,0.158346739280279,2.91113360403845
2008_APR,2008.25,2.05330913611934,3.13951867720239,0.15332144,0.153828839564516,2.33282301604858
2008_MAY,2008.33,1.87282799055477,3.28214392867767,0.1205976,0.152145041298703,2.35445129386329
2008_JUN,2008.42,2.24394704074578,3.8114389340403,0.14231018,0.153262257510197,2.5524324777342
2008_JUL,2008.5,2.17022371408,4.13565501831334,0.14483274,0.153392055301452,2.39116464349023
2008_AUG,2008.58,2.12369732141915,3.98062730328841,0.15516175,0.153923532326324,1.98586917856216
2008_SEP,2008.67,2.61343154783411,3.66783835738465,0.19101084,0.155768139669868,2.34774587585596
2008_OCT,2008.75,3.36717713712185,2.67184315289728,0.22793878,0.157668259011976,2.76827908653043
2008_NOV,2008.83,3.2211820232982,0.925029328622573,0.24385712,0.158487333829804,3.00810193982268
2008_DEC,2008.92,3.04017959142504,0.129569013957509,0.21964617,0.157241564518388,2.65439391539519
2009_JAN,2009,2.32920038568023,-0.111103547149349,0.1990544,0.156182019348383,2.55204519323853
2009_FEB,2009.08,2.37018323052713,-0.131248440529885,0.16600189,0.154481309437236,2.43426185597528
2009_MAR,2009.17,2.16450418757115,-0.525751678842334,0.1645191,0.15440501279141,3.23342163986802
2009_APR,2009.25,1.72638296082752,-0.567573963857981,0.11749892,0.151985599374702,3.39223488862217
2009_MAY,2009.33,1.76982661957701,-0.889212825962493,0.14567896,0.153435597372569,3.44501671396695
2009_JUN,2009.42,1.82656067024987,-1.01862468560052,0.15684209,0.154009993865617,3.37298541662601
2009_JUL,2009.5,2.4850669172513,-1.46600919566874,0.19755912,0.156105080032248,3.49821933736061
2009_AUG,2009.58,2.40161605673244,-1.1001197678584,0.17778488,0.155087600695478,2.81944740094318
