Motor_vehicles_and_parts,Furnishings_and_durable_household_equipment,Recreational_goods_and_vehicles,Other_durable_goods,Food_and_beverages_purchased_for_off-premises_consumption,Clothing_and_footwear,Gasoline_and_other_energy_goods,Other_nondurable_goods,Housing_and_utilities,Health_care,Transportation_services,Recreation_services,Food_services_and_accommodations,Financial_services_and_insurance,Other_services,row
0.0826743361873719,0.0517488697780346,0.0358270920909012,0.0140181515347225,0.215843502498386,0.0836942112240389,0.0511166253101736,0.0877460144804378,0.138940789084404,0.0493727283828919,0.0381997399010214,0.0289676110047299,0.0645467215065094,0.0553858491551819,0.156735096869874,1959_JAN
0.0814884685695417,0.0519093399215855,0.035872480918536,0.0141186422471669,0.217432461464096,0.0870817444545893,0.0514662441591922,0.0849938235136152,0.137974599821369,0.0491189804122829,0.0380571270287421,0.0289971614022315,0.0651216499274934,0.0553156075136311,0.155942978399206,1959_FEB
0.0808365480069024,0.0531470488297255,0.0360518145416508,0.0143011332973556,0.216878868434904,0.0864030967466838,0.0514847461240698,0.0833716429147262,0.138126861345966,0.0489796326277707,0.0381147022179582,0.0290703097412937,0.0666453465518045,0.0554989240004531,0.155984123176964,1959_MAR
0.0812709333566726,0.0518213920949514,0.0355807108150185,0.0140618011655307,0.216307417074424,0.0846945655293953,0.0511638618719251,0.0842172720172493,0.139666978681384,0.0491554216512996,0.0384609441387343,0.0291787535283994,0.0663604867726281,0.0559910657972779,0.156945164525954,1959_APR
0.0826197665689571,0.0518492272948532,0.0356445041224554,0.0140235967297039,0.214850773698554,0.0831349278620886,0.0505644207939971,0.0863469441142285,0.13981577756119,0.0490227388429653,0.0385415888651084,0.0291638259516441,0.0662403846472246,0.0560991086685561,0.156929084960467,1959_MAY
0.085286090609778,0.051507533581565,0.035624963449934,0.0138085695511888,0.213666691729569,0.0844696090514128,0.0491145712445692,0.0871306354753397,0.139132419784486,0.0487639933025145,0.038340943617066,0.0290338892817832,0.0666694998643334,0.0560213380950427,0.156262035792973,1959_JUN
0.0767310003209562,0.0520343477960821,0.0355747964994956,0.0142294256635743,0.215074646975507,0.0846240046796079,0.0514559692933596,0.0867797790988468,0.140778614673945,0.0490707056765441,0.038634971962883,0.0293217635724512,0.0666154012993799,0.0565731950044747,0.157469161362125,1959_JUL
0.0773275461365081,0.0516727915798332,0.035550701644048,0.013947051823997,0.212962902091236,0.0839189802183932,0.0524025218426017,0.0861607641787905,0.141815631956878,0.0491934861408469,0.0388001866083661,0.0294977692946939,0.0665796687944987,0.0569542660975891,0.15814696845408,1959_AUG
0.0710968107019558,0.0514310696781531,0.0356631062957716,0.0141446946711679,0.217222801129472,0.0852659156577792,0.0494456186947961,0.0861107184768567,0.142657919018972,0.0493127317835664,0.0389193987010319,0.0296693009077095,0.0684125924927601,0.0573005561040261,0.158561036851495,1959_SEP
0.0725271898159991,0.0509815882511135,0.0356983171211117,0.0140498632401267,0.213089592475255,0.086896633149019,0.0496959798500561,0.0870606138124193,0.143258882468135,0.0493534424642868,0.0389955127602464,0.0298650694221249,0.0671664797287104,0.0575688737006355,0.158890794708599,1959_OCT
0.0800783562202498,0.0512726845751412,0.0352786004311138,0.0138618899137627,0.210178867304205,0.0838171404715,0.0495375021200537,0.0868243551774974,0.143395301719285,0.0493832395194448,0.0389367501593362,0.0299770768433112,0.0660347819280094,0.0576710188772969,0.158794260803093,1959_NOV
0.0862549615922785,0.0491518889745567,0.034551957508781,0.0133641737342585,0.21209843227962,0.0817302749935749,0.051876124389617,0.0865008995116937,0.141936877123847,0.0493428567349153,0.0385190896370542,0.0297841885833405,0.0647680544847083,0.0573420857248922,0.157999942888146,1959_DEC
0.0856548698434828,0.0508538098627479,0.035355388425923,0.0140055051997052,0.210851038366329,0.0861053546570589,0.0508128673020112,0.0864454928539484,0.139799919188017,0.0491467033773296,0.0379568449079469,0.0294785854076981,0.0652813383808163,0.0568155599460911,0.156699456875352,1960_JAN
0.0802042412559049,0.0494868365207773,0.0350906431620359,0.013520378634908,0.213078595038134,0.0810933340192661,0.0500688076344322,0.0867072653145217,0.143206276189891,0.0502053987675121,0.0385957478834924,0.03002051605964,0.0665633480380178,0.0578610519255896,0.159744878249309,1960_FEB
0.0752963341239066,0.050071622654599,0.0350866252275902,0.0137335637248919,0.212507306795481,0.0835929520738452,0.0509934030075092,0.0882307598424945,0.143661085785645,0.0500132158726556,0.0386277594230599,0.0299848641976895,0.0659731366868581,0.0580073318949325,0.159670313343464,1960_MAR
0.0774026936565958,0.0491891459217163,0.0347965972055462,0.0135980148883375,0.213697270471464,0.0832626270711599,0.0504090290562715,0.0880493076122628,0.143817975103095,0.0496239375531779,0.038626104692702,0.0300613084067819,0.0658384695429441,0.0580798728769593,0.159079291810821,1960_APR
0.0809937229618823,0.0487080715135848,0.0345699828368534,0.0134599879701557,0.210627855488297,0.0829163413916226,0.0508420890976337,0.0882113925184607,0.1443549908449,0.0493801881073282,0.0386971839831487,0.0301163216736746,0.0653290930265297,0.0582330016831354,0.158967364900062,1960_MAY
0.084925762829469,0.0483346484752838,0.0344528302420427,0.0135989920073309,0.208557119584585,0.0817148602555617,0.0512841724787457,0.087715725703813,0.144561793759345,0.0495187476077615,0.0386463182624665,0.0300872896008568,0.0648704373059106,0.058154139350367,0.158884231683702,1960_JUN
0.081418362612922,0.04915611747629,0.0347764439539233,0.0136741541409855,0.209008370833952,0.0835344083335179,0.0499751752752066,0.0888219165952495,0.144805521501351,0.0498008341435482,0.0385619216714635,0.0300835666178137,0.0647182156557048,0.0580767965364619,0.158930871896573,1960_JUL
