PCE,core PCE,trimmed,Dates
,,,1959_JAN
,,,1959_FEB
,,,1959_MAR
0.120900378088451,0.148377524030711,,1959_APR
0.105408788457736,0.163303895657404,,1959_MAY
0.179954791844975,0.223209494988515,,1959_JUN
0.183980550627509,0.218368657675017,,1959_JUL
0.21453120553403,0.23093206748348,,1959_AUG
0.205181935258551,0.219592793945211,,1959_SEP
0.215643991374237,0.197805002552324,,1959_OCT
0.189233278955954,0.205984158331744,,1959_NOV
0.141013125067794,0.169441267420682,,1959_DEC
0.0411202008397207,0.120520139549633,,1960_JAN
0.0540704213167173,0.122409353763035,,1960_FEB
0.0345647007993073,0.0737556370379754,,1960_MAR
0.17508592179496,0.126406269750978,,1960_APR
0.174904450346573,0.11775590882328,,1960_MAY
0.170486425827613,0.134569692382095,,1960_JUN
0.109663269255581,0.132225160559122,,1960_JUL
0.131030631095075,0.125722906713606,,1960_AUG
0.135265700483093,0.134028606730752,,1960_SEP
0.113590089800468,0.0940733772342457,,1960_OCT
0.171170592892141,0.135688042752176,,1960_NOV
0.158241382259861,0.0980330809502957,,1960_DEC
0.12601990687342,0.0875547217010627,,1961_JAN
0.0425740255869907,0.03118567953595,,1961_FEB
0.0170263482739556,0.051992346726563,,1961_MAR
-0.0085115437812533,0.089404524284764,,1961_APR
-0.019133873333758,0.0997008973080787,,1961_MAY
0.0148904488406728,0.139122490084927,,1961_JUN
0.106421471596111,0.14515292897875,,1961_JUL
0.114869176770897,0.136679920477138,,1961_AUG
0.138206714720083,0.153019023986759,,1961_SEP
0.0636496722041877,0.111489625270988,,1961_OCT
0.0381582294581553,0.0824980406715377,,1961_NOV
0.00846991064244277,0.0452842616607053,,1961_DEC
0.0741164263176867,0.0740786468300447,,1962_JAN
0.160928302206413,0.123441550425873,,1962_FEB
0.196875396926203,0.172668968919587,,1962_MAR
0.171146044624744,0.139616055846425,,1962_APR
0.103257891853163,0.131185176075103,,1962_MAY
0.079971378664482,0.114519427402867,,1962_JUN
0.0231233314414251,0.136989102210228,,1962_JUL
0.050419108842248,0.0939197190575373,,1962_AUG
0.193151518968733,0.097823428711171,,1962_SEP
0.178556423829927,0.0671960904092827,,1962_OCT
0.153126507666812,0.0875478459157883,,1962_NOV
-0.0229611539023492,0.0325123953507293,,1962_DEC
0.091936730813432,0.097543132353839,,1963_JAN
0.104401570199612,0.11168646563103,,1963_FEB
0.0898191084931277,0.121802679658948,,1963_MAR
0.00625117209476963,0.0992847445950553,,1963_APR
0.024978144123892,0.121432908318157,,1963_MAY
0.124992187988249,0.157766990291264,,1963_JUN
0.19375,0.147474747474748,,1963_JUL
0.185115853404882,0.116959064327486,,1963_AUG
0.105846460369833,0.120787534726411,,1963_SEP
0.103564696866136,0.164926889116838,,1963_OCT
0.105491777846733,0.164777750984646,,1963_NOV
0.161370407149956,0.15244513980824,,1963_DEC
0.167255157034011,0.124086860802556,,1964_JAN
0.167017196585428,0.157968406318728,,1964_FEB
0.137945233683342,0.141767501297877,,1964_MAR
0.0924556213017717,0.125620625710362,,1964_APR
0.0492398596663983,0.0895575855274963,,1964_MAY
0.0758647556949803,0.081519037677702,,1964_JUN
0.094248775790362,0.085419149781485,,1964_JUL
0.114723536762747,0.101226628557812,,1964_AUG
0.118653082934417,0.091237256535363,,1964_SEP
0.0960261518030413,0.0713309160078463,,1964_OCT
0.118413262285374,0.0751954091223897,,1964_NOV
0.116193737769077,0.108790252393387,,1964_DEC
0.132420649472357,0.140380014631155,,1965_JAN
0.0996846709388674,0.132282967087205,,1965_FEB
0.093444654356345,0.104493207941488,,1965_MAR
0.109575698545084,0.0984445757038783,,1965_APR
0.170378483631498,0.119960668633238,,1965_MAY
0.224855666970525,0.092374213836477,,1965_JUN
0.196185506542886,0.0863761287789533,,1965_JUL
0.129152036162572,0.0881782376109587,,1965_AUG
0.0482916817578173,0.135238431234197,,1965_SEP
0.0341818474283163,0.0900689223057637,,1965_OCT
0.0824186869296047,0.0898999374609133,,1965_NOV
0.186859553948164,0.152260482548601,,1965_DEC
0.216932811087678,0.173794180824053,,1966_JAN
0.298782810964722,0.192959887732432,,1966_FEB
0.259745449459525,0.134079514981929,,1966_MAR
0.335269113332933,0.244769508712632,,1966_APR
0.238492725971858,0.251923337790435,,1966_MAY
0.239893733024051,0.317405020418438,,1966_JUN
0.189674589532333,0.295053514608042,,1966_JUL
0.276264898571317,0.26734368088012,,1966_AUG
0.299200818865393,0.262648338797189,,1966_SEP
0.322194062985015,0.27334939022059,,1966_OCT
0.242680444653202,0.295745086815498,,1966_NOV
0.206796987787272,0.294833751807041,,1966_DEC
0.120638997528847,0.216142426483135,,1967_JAN
0.110748426206582,0.192907801418437,,1967_FEB
0.0581665891112193,0.14141071327564,,1967_MAR
0.112448864848099,0.203447301497602,,1967_APR
0.137492980111927,0.21624264304921,,1967_MAY
0.226454534897217,0.249708985768467,,1967_JUN
0.284041504840293,0.271489823812465,,1967_JUL
0.323999074288365,0.300788401898148,,1967_AUG
0.319126439433259,0.33543914574831,,1967_SEP
0.29888492930222,0.345442389124137,,1967_OCT
0.305600122240042,0.349941676387267,,1967_NOV
0.257069408740366,0.313647349679891,,1967_DEC
0.319015608978016,0.3382228594537,,1968_JAN
0.344462109167993,0.375622984462033,,1968_FEB
0.400604686318973,0.425874138655847,,1968_MAR
0.34984764699244,0.400334825490407,,1968_APR
0.337192312015283,0.382308709753407,,1968_MAY
0.336096795877213,0.38079768994767,,1968_JUN
0.333184424093513,0.368612219944613,,1968_JUL
0.346797225622193,0.37259959873889,,1968_AUG
