Line,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969,1970,1970,1970,1970,1970,1970,1970,1970,1970,1970,1970,1970,1971,1971,1971,1971,1971,1971,1971,1971,1971,1971,1971,1971,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1973,1973,1973,1973,1973,1973,1973,1973,1973,1973,1973,1973,1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024
Line,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
PCE,15.164,15.179,15.189,15.219,15.227,15.271,15.303,15.325,15.365,15.402,15.412,15.430,15.421,15.437,15.446,15.502,15.518,15.525,15.553,15.579,15.588,15.606,15.659,15.662,15.665,15.679,15.670,15.661,15.670,15.677,15.711,15.724,15.742,15.741,15.742,15.746,15.776,15.818,15.839,15.857,15.867,15.877,15.868,15.891,15.969,15.953,15.964,15.958,15.997,16.014,16.001,16.000,16.026,16.061,16.093,16.115,16.112,16.143,16.166,16.190,16.224,16.247,16.257,16.269,16.271,16.294,16.315,16.327,16.352,16.362,16.385,16.409,16.427,16.434,16.455,16.481,16.518,16.566,16.578,16.582,16.590,16.595,16.623,16.683,16.703,16.772,16.813,16.871,16.892,16.934,16.967,17.032,17.086,17.131,17.156,17.192,17.193,17.213,17.222,17.251,17.284,17.339,17.398,17.452,17.505,17.554,17.612,17.640,17.722,17.794,17.852,17.908,17.974,18.032,18.087,18.161,18.224,18.304,18.366,18.404,18.476,18.523,18.610,18.692,18.767,18.858,18.941,18.993,19.072,19.137,19.220,19.308,19.377,19.454,19.502,19.601,19.663,19.714,19.786,19.838,19.927,20.026,20.105,20.194,20.237,20.296,20.363,20.443,20.528,20.619,20.681,20.741,20.772,20.804,20.847,20.929,21.015,21.098,21.128,21.160,21.207,21.239,21.315,21.377,21.473,21.497,21.561,21.630,21.695,21.809,21.964,22.127,22.236,22.363,22.444,22.703,22.793,22.922,23.110,23.300,23.523,23.797,24.073,24.243,24.482,24.690,24.872,25.132,25.393,25.575,25.767,25.971,26.132,26.274,26.363,26.452,26.558,26.724,26.953,27.070,27.204,27.362,27.538,27.690,27.795,27.831,27.873,27.936,28.069,28.192,28.335,28.491,28.651,28.801,28.932,29.094,29.263,29.492,29.640,29.812,29.963,30.131,30.287,30.428,30.543,30.685,30.861,31.011,31.194,31.339,31.542,31.781,32.008,32.217,32.393,32.557,32.742,33.003,33.190,33.345,33.597,33.776,34.040,34.395,34.751,35.038,35.305,35.575,35.889,36.182,36.433,36.739,37.124,37.526,37.987,38.185,38.482,38.725,39.026,39.351,39.715,40.033,40.359,40.621,41.011,41.426,41.715,41.897,42.085,42.253,42.508,42.774,43.033,43.228,43.460,43.594,43.853,43.985,44.098,44.120,44.382,44.704,44.969,45.108,45.233,45.487,45.624,45.693,45.906,45.984,46.043,46.253,46.384,46.557,46.820,47.020,47.185,47.265,47.332,47.358,47.564,47.884,48.041,48.224,48.285,48.371,48.544,48.693,48.759,48.874,48.943,49.081,49.326,49.555,49.749,49.821,49.939,50.075,50.198,50.364,50.449,50.533,50.680,50.850,51.084,51.084,50.972,50.868,50.961,51.151,51.164,51.228,51.396,51.488,51.580,51.651,51.894,52.076,52.214,52.409,52.542,52.741,52.863,53.072,53.251,53.420,53.521,53.620,53.828,53.908,54.093,54.356,54.514,54.746,55.012,55.175,55.444,55.625,55.754,55.928,56.215,56.402,56.612,56.989,57.197,57.322,57.459,57.466,57.594,57.819,57.945,58.113,58.553,58.811,59.033,59.157,59.290,59.552,59.699,60.096,60.465,60.811,60.888,60.945,61.177,61.208,61.221,61.332,61.586,61.690,61.787,61.931,62.144,62.260,62.397,62.553,62.638,62.797,62.949,63.119,63.203,63.315,63.524,63.609,63.713,63.938,64.064,64.176,64.332,64.429,64.561,64.733,64.933,64.955,65.059,65.170,65.238,65.443,65.567,65.582,65.604,65.756,65.937,66.015,66.111,66.272,66.481,66.634,66.708,66.821,66.948,66.991,67.127,67.246,67.370,67.547,67.651,67.717,67.802,67.948,67.995,68.171,68.169,68.300,68.452,68.560,68.767,68.973,69.092,69.091,69.237,69.303,69.499,69.709,69.833,69.914,70.005,70.151,70.225,70.294,70.262,70.352,70.394,70.450,70.620,70.712,70.716,70.701,70.736,70.699,70.710,70.798,70.895,70.835,71.010,71.108,71.067,71.223,71.226,71.298,71.398,71.358,71.412,71.757,71.804,71.826,72.017,72.148,72.407,72.529,72.594,72.763,72.961,73.191,73.505,73.444,73.505,73.754,73.939,73.934,74.252,74.353,74.457,74.571,74.932,75.048,75.055,75.187,75.385,75.518,75.493,75.484,75.227,75.492,75.441,75.363,75.431,75.558,75.763,76.080,76.130,76.225,76.393,76.543,76.681,76.821,76.897,76.971,77.201,77.526,77.725,77.593,77.504,77.588,77.816,78.079,78.323,78.333,78.432,78.605,78.909,79.077,79.199,79.346,79.604,79.831,79.905,79.946,80.104,80.448,80.758,80.801,80.907,81.132,81.375,81.603,81.649,81.700,82.046,82.377,83.172,83.305,83.131,83.131,83.534,83.584,83.746,84.135,84.361,84.569,84.858,85.125,84.902,84.702,84.731,85.032,85.316,85.581,85.894,86.096,86.346,86.529,86.661,86.720,87.054,87.318,87.781,87.984,88.206,88.382,88.635,88.799,89.180,89.827,90.245,90.172,90.247,89.651,88.593,88.098,88.108,88.266,88.169,88.295,88.387,88.912,88.922,89.180,89.324,89.663,89.887,89.939,90.136,90.134,90.261,90.310,90.339,90.301,90.378,90.502,90.592,90.881,91.062,91.268,91.542,91.797,92.166,92.557,92.838,92.819,92.977,93.196,93.327,93.329,93.520,93.574,93.894,94.104,94.284,94.408,94.302,94.254,94.288,94.605,94.893,95.174,95.109,95.094,95.275,95.614,95.488,95.391,95.461,95.673,95.792,95.934,95.976,96.103,96.246,96.414,96.614,96.660,96.815,96.987,97.147,97.253,97.391,97.379,97.413,97.384,97.291,97.120,96.654,96.825,97.008,97.094,97.327,97.516,97.605,97.612,97.477,97.477,97.538,97.456,97.496,97.445,97.673,97.993,98.153,98.325,98.342,98.479,98.666,98.868,98.901,99.071,99.451,99.586,99.535,99.725,99.682,99.766,99.803,100.027,100.400,100.531,100.675,100.821,101.199,101.416,101.524,101.766,101.941,102.029,102.137,102.208,102.418,102.595,102.630,102.701,102.648,102.836,103.069,103.360,103.435,103.484,103.622,103.670,103.733,103.917,104.024,104.307,104.419,104.541,104.252,103.817,103.914,104.233,104.564,104.887,105.046,105.106,105.225,105.690,106.083,106.471,107.032,107.632,108.184,108.748,109.275,109.720,110.047,110.741,111.510,112.221,112.776,113.489,114.489,114.845,115.542,116.631,116.662,117.002,117.377,117.891,118.221,118.403,119.007,119.401,119.553,119.970,120.140,120.435,120.598,120.965,121.387,121.421,121.415,121.602,122.115,122.494,122.912,123.234,123.224,123.369,123.571,123.713,123.930
core PCE,15.501,15.513,15.531,15.570,15.589,15.635,15.672,15.697,15.738,15.765,15.794,15.818,15.822,15.852,15.853,15.882,15.908,15.917,15.945,15.968,15.981,15.990,16.033,16.028,16.032,16.048,16.053,16.075,16.096,16.120,16.145,16.162,16.194,16.199,16.202,16.216,16.235,16.262,16.300,16.303,16.326,16.356,16.370,16.372,16.404,16.403,16.415,16.420,16.451,16.470,16.480,16.500,16.530,16.558,16.573,16.588,16.618,16.655,16.670,16.694,16.717,16.749,16.765,16.780,16.794,16.806,16.823,16.845,16.852,16.859,16.883,16.907,16.930,16.950,16.960,16.980,17.011,17.007,17.024,17.056,17.076,17.070,17.102,17.154,17.159,17.201,17.223,17.285,17.331,17.387,17.438,17.470,17.524,17.581,17.625,17.679,17.695,17.727,17.754,17.803,17.842,17.887,17.948,18.003,18.067,18.134,18.192,18.237,18.318,18.397,18.470,18.538,18.608,18.681,18.743,18.816,18.892,18.969,19.041,19.098,19.170,19.236,19.326,19.400,19.478,19.545,19.636,19.691,19.770,19.855,19.931,20.005,20.071,20.148,20.223,20.303,20.375,20.448,20.526,20.597,20.683,20.785,20.892,20.997,21.080,21.160,21.228,21.307,21.400,21.485,21.567,21.597,21.633,21.667,21.716,21.784,21.877,21.936,21.979,22.030,22.081,22.126,22.189,22.236,22.310,22.323,22.382,22.449,22.463,22.534,22.625,22.756,22.844,22.943,23.041,23.148,23.265,23.355,23.468,23.598,23.714,23.865,24.051,24.231,24.464,24.715,24.934,25.174,25.400,25.599,25.786,25.968,26.119,26.304,26.441,26.570,26.683,26.813,26.978,27.071,27.218,27.354,27.535,27.702,27.844,27.955,28.047,28.157,28.290,28.405,28.561,28.726,28.894,29.036,29.168,29.326,29.505,29.686,29.812,29.959,30.112,30.292,30.479,30.629,30.758,30.907,31.067,31.227,31.414,31.535,31.706,31.911,32.099,32.278,32.468,32.642,32.830,33.071,33.249,33.378,33.549,33.659,33.852,34.165,34.462,34.655,34.829,35.060,35.299,35.557,35.784,36.041,36.315,36.677,37.017,37.207,37.507,37.756,38.021,38.296,38.657,38.975,39.282,39.518,39.861,40.152,40.375,40.633,40.913,41.117,41.365,41.642,41.915,42.165,42.411,42.568,42.829,42.994,43.182,43.353,43.589,43.808,44.092,44.295,44.459,44.741,44.906,45.049,45.357,45.525,45.583,45.721,45.787,46.001,46.311,46.550,46.738,46.821,46.930,46.965,47.121,47.418,47.598,47.822,47.933,48.046,48.253,48.412,48.486,48.595,48.698,48.891,49.165,49.420,49.593,49.652,49.823,49.988,50.134,50.380,50.484,50.565,50.689,50.827,51.101,51.233,51.389,51.482,51.570,51.725,51.819,51.925,52.096,52.273,52.384,52.452,52.578,52.685,52.841,53.065,53.214,53.360,53.498,53.679,53.892,54.122,54.235,54.349,54.606,54.718,54.952,55.219,55.407,55.641,55.868,56.007,56.307,56.521,56.676,56.864,57.152,57.297,57.468,57.661,57.833,57.987,58.136,58.217,58.419,58.631,58.787,58.954,59.181,59.468,59.754,59.932,60.115,60.349,60.501,60.753,60.965,61.172,61.246,61.331,61.637,61.807,61.936,62.060,62.307,62.442,62.632,62.804,63.055,63.194,63.312,63.468,63.641,63.814,63.973,64.183,64.273,64.323,64.566,64.625,64.730,64.979,65.121,65.242,65.432,65.557,65.700,65.891,66.114,66.177,66.314,66.438,66.538,66.647,66.819,66.849,66.902,67.047,67.275,67.376,67.526,67.676,67.818,67.894,67.997,68.157,68.282,68.305,68.475,68.587,68.755,68.915,69.032,69.092,69.201,69.367,69.458,69.627,69.672,69.770,69.849,69.940,70.102,70.197,70.319,70.373,70.505,70.566,70.780,70.948,71.041,71.068,71.144,71.290,71.460,71.600,71.652,71.758,71.807,71.778,71.927,72.036,72.058,72.100,72.210,72.272,72.349,72.482,72.552,72.461,72.665,72.807,72.795,72.937,72.950,73.076,73.180,73.155,73.177,73.365,73.435,73.474,73.606,73.642,73.837,73.963,74.034,74.128,74.306,74.415,74.568,74.617,74.697,74.754,74.925,75.021,75.203,75.308,75.441,75.515,75.796,75.930,76.009,76.130,76.148,76.318,76.515,76.553,76.118,76.654,76.810,76.828,76.871,77.018,77.110,77.325,77.411,77.534,77.692,77.845,77.972,78.038,78.114,78.187,78.240,78.348,78.474,78.561,78.674,78.718,78.915,79.004,79.114,79.260,79.368,79.467,79.671,79.800,79.934,80.142,80.252,80.379,80.474,80.505,80.656,80.831,81.005,81.109,81.401,81.536,81.737,81.831,81.999,82.056,82.176,82.243,82.425,82.662,82.873,82.959,83.145,83.279,83.509,83.764,83.974,84.186,84.268,84.440,84.573,84.726,84.766,84.880,85.224,85.408,85.494,85.616,85.717,85.859,85.988,86.116,86.351,86.576,86.746,86.920,87.093,87.178,87.349,87.400,87.559,87.760,87.918,88.026,88.116,87.991,87.952,87.909,87.882,87.952,88.015,88.211,88.279,88.392,88.468,88.599,88.755,89.082,89.160,89.236,89.368,89.446,89.579,89.625,89.724,89.767,89.769,89.855,89.906,90.043,90.160,90.179,90.372,90.530,90.667,90.875,91.091,91.191,91.326,91.508,91.570,91.614,91.808,91.960,92.235,92.364,92.521,92.661,92.755,92.850,92.946,93.005,93.119,93.345,93.445,93.514,93.703,93.805,93.891,93.937,94.047,94.209,94.329,94.431,94.543,94.703,94.860,94.961,95.064,95.109,95.250,95.413,95.574,95.682,95.848,95.885,96.013,96.096,96.181,96.249,96.214,96.324,96.470,96.648,96.766,96.882,96.978,97.056,97.196,97.228,97.332,97.396,97.567,97.736,97.876,98.117,98.284,98.386,98.529,98.703,98.834,98.961,99.005,99.120,99.385,99.561,99.519,99.723,99.803,99.937,100.010,100.118,100.240,100.486,100.535,100.683,101.007,101.198,101.419,101.602,101.780,101.872,102.006,102.016,102.205,102.366,102.556,102.735,102.870,102.963,103.058,103.265,103.371,103.560,103.678,103.797,103.873,104.028,104.092,104.322,104.488,104.684,104.596,104.256,104.370,104.531,104.900,105.235,105.395,105.470,105.578,105.904,106.244,106.477,106.898,107.549,108.103,108.595,109.062,109.436,109.657,110.184,110.792,111.458,111.988,112.492,112.916,113.301,113.709,114.376,114.638,115.298,115.805,116.200,116.554,116.977,117.526,117.963,118.304,118.715,119.063,119.370,119.536,119.658,120.040,120.200,120.309,120.528,121.128,121.418,121.829,122.140,122.239,122.510,122.718,122.910,123.222
