Daten,comp,targ,bench,bint
2020,0.0035621298591309,0.01837621,0.0044218864,0.00367951767294118
2020.08,0.00668781190456491,0.01774729,0.0056872766,0.00367951767294118
2020.17,0.00123164584313374,0.02021012,0.0026264834,0.00367951767294118
2020.25,-0.00308435875419253,0.0183461,-0.0022203507,0.00367951767294118
2020.33,-0.00402173045455854,0.01808986,-0.0029995033,0.00367951767294118
2020.42,0.00232561589424149,0.01870922,-0.0006214387,0.00367951767294118
2020.5,0.00885602053213274,0.01582132,0.0061771025,0.00367951767294118
2020.58,0.00932008115536658,0.0126361,0.0082878222,0.00367951767294118
2020.67,0.00638956587816449,0.006396241,0.0082654906,0.00367951767294118
2020.75,0.00148763878124309,0.01053471,0.0054337464,0.00367951767294118
2020.83,0.00228506491837623,0.01041863,0.0032593719,0.00367951767294118
2020.92,0.0044602372191261,0.008741065,0.0048294511,0.00367951767294118
2021,0.00876927729418903,0.009466371,0.0073385797,0.00367951767294118
2021.08,0.00618171327392975,0.009981306,0.0085150315,0.00367951767294118
2021.17,0.00618138377239479,0.009712592,0.0093858589,0.00367951767294118
2021.25,0.0101001607145011,0.008091961,0.0122830466,0.00367951767294118
2021.33,0.0125862022961575,0.006189228,0.0152709036,0.00367951767294118
2021.42,0.0156960553331602,0.007377481,0.0158749462,0.00367951767294118
2021.5,0.0152248280332584,0.005234642,0.0140680062,0.00367951767294118
2021.58,0.0140844222344946,0.006866989,0.0123308326,0.00367951767294118
2021.67,0.0125780785784831,0.007904679,0.0097794558,0.00367951767294118
2021.75,0.0120820926536464,0.006824325,0.0102877262,0.00367951767294118
2021.83,0.0147868027747931,0.003720084,0.0123908038,0.00367951767294118
2021.92,0.0167665376122144,0.001771195,0.0164239401,0.00367951767294118
2022,0.0150243400571182,0.005715651,0.0163726131,0.00367951767294118
2022.08,0.0173643922310697,0.008886876,0.0153440682,0.00367951767294118
2022.17,0.0137104464220104,0.01077285,0.0130811606,0.00367951767294118
2022.25,0.0125948746723328,0.009163493,0.0117244705,0.00367951767294118
2022.33,0.010445297432575,0.005959476,0.0108185471,0.00367951767294118
2022.42,0.01437319124989,0.003718107,0.0129299656,0.00367951767294118
2022.5,0.0136623917047477,0.002734635,0.0118004254,0.00367951767294118
2022.58,0.0153844468767267,0.003968383,0.0139742676,0.00367951767294118
2022.67,0.01257577769301,0.004547334,0.0124938798,0.00367951767294118
2022.75,0.0161176599992122,,0.0136254994,0.00367951767294118
2022.83,0.0104965724295932,,0.0108935107,0.00367951767294118
2022.92,0.0101289787798208,,0.0101204611,0.00367951767294118
2023,0.00925705114461558,,0.0114113597,0.00367951767294118
2023.08,0.0126960495352358,,0.0120888172,0.00367951767294118
2023.17,0.0154513631235544,,0.0113441104,0.00367951767294118
2023.25,0.0109796001589086,,0.0101169103,0.00367951767294118
2023.33,0.0113392035147946,,0.0093249578,0.00367951767294118
2023.42,0.00648119717620596,,0.0090106843,0.00367951767294118
2023.5,0.0039489449485867,,0.0069157225,0.00367951767294118
2023.58,-0.000649372028119093,,0.0049973543,0.00367951767294118
2023.67,0.00269492717607325,,0.0056128005,0.00367951767294118
2023.75,0.00568515558282149,,0.0055548119,0.00367951767294118
2023.83,0.00629766269216706,,0.0054405054,0.00367951767294118
2023.92,0.00274009361153145,,0.0040653116,0.00367951767294118
