Motor vehicles and parts,Furnishings and durable household equipment,Recreational goods and vehicles,Other durable goods,Food and beverages purchased for off-premises consumption,Clothing and footwear,Gasoline and other energy goods,Other nondurable goods,Housing and utilities,Health care,Transportation services,Recreation services,Food services and accommodations,Financial services and insurance,Other services,Dates
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1959_JAN
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1959_FEB
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1959_MAR
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1959_APR
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1959_MAY
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1959_JUN
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1959_JUL
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1959_AUG
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1959_SEP
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1959_OCT
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1959_NOV
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1959_DEC
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1960_JAN
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1960_FEB
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1960_MAR
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1960_APR
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1960_MAY
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1960_JUN
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1960_JUL
3.75106853015197,2.31394423962458,2.89393344609135,1.52483623408805,7.83810056829668,3.08428711813647,2.49382866318421,8.45520258779348,19.1720266228896,16.9757334866747,3.19900991343525,4.11028354798048,6.87748852318038,8.54918387327995,8.76107264519284,1960_AUG
