PCE,core PCE,Dates
,,1959_JAN
,,1959_FEB
,,1959_MAR
0.00362701134265353,0.00445132572092133,1959_APR
0.00316226365373207,0.00489911686972211,1959_MAY
0.00539864375534926,0.00669628484965545,1959_JUN
0.00551941651882526,0.0065510597302505,1959_JUL
0.00643593616602089,0.00692796202450441,1959_AUG
0.00615545805775652,0.00658778381835634,1959_SEP
0.00646931974122711,0.00593415007656972,1959_OCT
0.00567699836867863,0.00617952474995231,1959_NOV
0.00423039375203382,0.00508323802262045,1959_DEC
0.00123360602519162,0.00361560418648899,1960_JAN
0.00162211263950152,0.00367228061289104,1960_FEB
0.00103694102397922,0.00221266911113926,1960_MAR
0.00525257765384879,0.00379218809252935,1960_APR
0.00524713351039718,0.00353267726469841,1960_MAY
0.0051145927748284,0.00403709077146286,1960_JUN
0.00328989807766744,0.00396675481677367,1960_JUL
0.00393091893285225,0.00377168720140819,1960_AUG
0.00405797101449279,0.00402085820192255,1960_SEP
0.00340770269401403,0.00282220131702737,1960_OCT
0.00513511778676423,0.00407064128256529,1960_NOV
0.00474724146779582,0.00294099242850887,1960_DEC
0.00378059720620261,0.00262664165103188,1961_JAN
0.00127722076760972,0.000935570386078499,1961_FEB
0.000510790448218668,0.00155977040179689,1961_MAR
-0.000255346313437599,0.00268213572854292,1961_APR
-0.000574016200012739,0.00299102691924236,1961_MAY
0.000446713465220183,0.00417367470254781,1961_JUN
0.00319264414788334,0.00435458786936249,1961_JUL
0.00344607530312691,0.00410039761431413,1961_AUG
0.00414620144160249,0.00459057071960278,1961_SEP
0.00190949016612563,0.00334468875812965,1961_OCT
0.00114474688374466,0.00247494122014613,1961_NOV
0.000254097319273283,0.00135852784982116,1961_DEC
0.0022234927895306,0.00222235940490134,1962_JAN
0.00482784906619238,0.0037032465127762,1962_FEB
0.00590626190778609,0.00518006906758761,1962_MAR
0.00513438133874233,0.00418848167539276,1962_APR
0.00309773675559488,0.00393555528225309,1962_MAY
0.00239914135993446,0.003435582822086,1962_JUN
0.000693699943242754,0.00410967306630683,1962_JUL
0.00151257326526744,0.00281759157172612,1962_AUG
0.005794545569062,0.00293470286133513,1962_SEP
0.0053566927148978,0.00201588271227848,1962_OCT
0.00459379523000436,0.00262643537747365,1962_NOV
-0.000688834617070477,0.000975371860521879,1962_DEC
0.00275810192440296,0.00292629397061517,1963_JAN
0.00313204710598836,0.00335059396893089,1963_FEB
0.00269457325479383,0.00365408038976844,1963_MAR
0.000187535162843089,0.00297854233785166,1963_APR
0.000749344323716761,0.0036429872495447,1963_MAY
0.00374976563964746,0.00473300970873791,1963_JUN
0.0058125,0.00442424242424244,1963_JUL
0.00555347560214647,0.00350877192982457,1963_AUG
0.003175393811095,0.00362362604179234,1963_SEP
0.00310694090598407,0.00494780667350514,1963_OCT
0.003164753335402,0.00494333252953938,1963_NOV
0.00484111221449868,0.0045733541942472,1963_DEC
0.00501765471102034,0.00372260582407669,1964_JAN
0.00501051589756285,0.00473905218956183,1964_FEB
0.00413835701050025,0.00425302503893632,1964_MAR
0.00277366863905315,0.00376861877131085,1964_APR
0.00147719578999195,0.00268672756582489,1964_MAY
0.00227594267084941,0.00244557113033106,1964_JUN
0.00282746327371086,0.00256257449344455,1964_JUL
0.00344170610288241,0.00303679885673436,1964_AUG
0.0035595924880325,0.00273711769606089,1964_SEP
0.00288078455409124,0.00213992748023539,1964_OCT
0.00355239786856121,0.00225586227367169,1964_NOV
0.00348581213307231,0.00326370757180161,1964_DEC
0.00397261948417071,0.00421140043893464,1965_JAN
0.00299054012816602,0.00396848901261615,1965_FEB
0.00280333963069035,0.00313479623824464,1965_MAR
0.00328727095635251,0.00295333727111635,1965_APR
0.00511135450894495,0.00359882005899714,1965_MAY
0.00674567000911575,0.00277122641509431,1965_JUN
0.00588556519628658,0.0025912838633686,1965_JUL
0.00387456108487716,0.00264534712832876,1965_AUG
0.00144875045273452,0.00405715293702591,1965_SEP
0.00102545542284949,0.00270206766917291,1965_OCT
0.00247256060788814,0.0026969981238274,1965_NOV
0.00560578661844491,0.00456781447645804,1965_DEC
0.00650798433263033,0.0052138254247216,1966_JAN
0.00896348432894167,0.00578879663197296,1966_FEB
0.00779236348378576,0.00402238544945788,1966_MAR
0.010058073399988,0.00734308526137895,1966_APR
0.00715478177915574,0.00755770013371304,1966_MAY
0.00719681199072153,0.00952215061255313,1966_JUN
0.00569023768596999,0.00885160543824126,1966_JUL
0.00828794695713952,0.00802031042640361,1966_AUG
0.0089760245659618,0.00787945016391567,1966_SEP
0.00966582188955045,0.00820048170661769,1966_OCT
0.00728041333959606,0.00887235260446495,1966_NOV
0.00620390963361817,0.00884501255421122,1966_DEC
0.00361916992586542,0.00648427279449404,1967_JAN
0.00332245278619747,0.0057872340425531,1967_FEB
0.00174499767333658,0.00424232139826919,1967_MAR
0.00337346594544297,0.00610341904492806,1967_APR
0.00412478940335781,0.0064872792914763,1967_MAY
0.00679363604691652,0.00749126957305402,1967_JUN
0.0085212451452088,0.00814469471437396,1967_JUL
0.00971997222865095,0.00902365205694444,1967_AUG
0.00957379318299778,0.0100631743724493,1967_SEP
0.00896654787906659,0.0103632716737241,1967_OCT
0.00916800366720127,0.010498250291618,1967_NOV
0.00771208226221098,0.00940942049039672,1967_DEC
0.00957046826934049,0.010146685783611,1968_JAN
0.0103338632750398,0.011268689533861,1968_FEB
0.0120181405895692,0.0127762241596754,1968_MAR
0.0104954294097732,0.0120100447647122,1968_APR
0.0101157693604585,0.0114692612926022,1968_MAY
0.0100829038763164,0.0114239306984301,1968_JUN
