Daten,comp,targ,bench,bint
2021.08,0.00860021291377455,0.01608889,0.0085150315,0.00540803929182309
2021.17,0.00969606539096688,0.01603259,0.0093858589,0.00562299619809298
2021.25,0.0115982739477509,0.01526498,0.0122830466,0.0063381442341736
2021.33,0.0142245919810135,0.01419803,0.0152709036,0.00707567327505685
2021.42,0.0147709469515474,0.01194505,0.0158749462,0.00722477644814399
2021.5,0.0131543152892879,0.01341569,0.0140680062,0.00677874749657985
2021.58,0.0112442554156147,0.01631425,0.0123308326,0.0063499398330753
2021.67,0.0104326276249497,0.0197552,0.0097794558,0.00572015250247824
2021.75,0.0111954976215045,0.01837621,0.0102877262,0.00584561505996387
2021.83,0.0122424803416441,0.01774729,0.0123908038,0.00636474325292325
2021.92,0.0145625370083026,0.02021012,0.0164239401,0.0073602912818585
2022,0.0164016451037158,0.0183461,0.0163726131,0.00734762161490944
2022.08,0.0160468963544418,0.01808986,0.0153440682,0.00709373338210501
2022.17,0.012628301607405,0.01870922,0.0130811606,0.00653515240857267
2022.25,0.00836567962192477,0.01582132,0.0117244705,0.00620026410962504
2022.33,0.00887684799300966,0.0126361,0.0108185471,0.00597664403131617
2022.42,0.0129589025932059,0.006396241,0.0129299656,0.00649783110995084
2022.5,0.0132681853602629,0.01053471,0.0118004254,0.00621901298031978
2022.58,0.0143296940645073,0.01041863,0.0139742676,0.00675560885917125
2022.67,0.0123520401214332,0.008741065,0.0124938798,0.00639018675420798
2022.75,0.0123164546456838,0.009466371,0.0136254994,0.00666951816740234
2022.83,0.00882820836719979,0.009981306,0.0108935107,0.00599514820738924
2022.92,0.00758153482157224,0.009712592,0.0101204611,0.00580432698333361
2023,0.00890660831653605,0.008091961,0.0114113597,0.00612297516707719
2023.08,0.00985808633853278,0.006189228,0.0120888172,0.00629020023180223
2023.17,0.00926293142700003,0.007377481,0.0113441104,0.00610637520538924
2023.25,0.00923727398504372,0.005234642,0.0101169103,0.0058034504962332
2023.33,0.00925169756271021,0.006866989,0.0093249578,0.00560796323973127
2023.42,0.00893377501819512,0.007904679,0.0090106843,0.00553038729381752
2023.5,0.00559397234410139,0.006824325,0.0069157225,0.00501326242236583
2023.58,0.00338730922917618,0.003720084,0.0049973543,0.0045397282945254
2023.67,0.00309903126797406,0.001771195,0.0056128005,0.00469164635673562
2023.75,0.00425555022689243,0.005715651,0.0055548119,0.00467733232613103
2023.83,0.00446824358399864,0.008886876,0.0054405054,0.0046491166640991
2023.92,0.0046698450339881,0.01077285,0.0040653116,0.00430966087209079
2024,0.00778872908233453,0.009163493,0.0077204659,0.00521190701210327
2024.08,0.00832423526812957,0.005959476,0.0092179305,0.00558154439106572
2024.17,0.00873979291289408,0.003718107,0.0107941723,0.00597062730331824
2024.25,0.0060209850321698,0.002734635,0.0083547982,0.0053684869598117
2024.33,0.00568789078095771,0.003968383,0.0067617651,0.00497525924699336
2024.42,0.00602472910328447,0.004547334,0.0055898021,0.0046859693822707
2024.5,0.00478466978510475,,0.0047322744,0.00447429540252139
2024.58,0.00380570258778462,,0.0054892465,0.00466114802193671
